﻿Stock Level Summary Report
Merchant ID,B0961005
Merchant Name,Hong Kong online Community pharmacy superstore
Date,2026/06/19
,,,,,,,,,,,,,,,Packing Dimension
Merchant ID,Merchant Product ID,Primary SKU,Merchant SKU ID,SKU Name,SKU Name (Chi),Warehouse ID,StockLevel,Online Status,Invisible,Force Out Of Stock,Create Date,Offline Date,Brand Name (EN),Brand Name (CHI),Height,Width,Depth,Packing Spec(EN),Packing Spec(CHI),Primary Category Code,Primary Category Name (CHI),Currency,Original Price,Discount Price,Discount Rate(%),VIP Discount Price,VIP Discount Rate(%),GOLD VIP Discount Price,GOLD VIP Discount Rate(%),DIAMOND VIP Discount Price,DIAMOND VIP Discount Rate(%),
B0961005,4890008120307_24,Y,B0961005_S_4890008120307_24,(Full Case) Orange Soda 330ml x 24 cans【Best Before:04/2027】,(原箱) (橙味汽水) 330ml x 24罐【最佳使用日期:04/2027】,B096100591,17,online,N,N,15-May-2026,01-Jan-2099,Fanta,芬達,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,106.0,79.0,25.4717, , , , , , ,
B0961005,4890008120369_24,Y,B0961005_S_4890008120369_24,(Full Case) Orange Soda (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 橙味汽水(迷你罐裝) 200ml x 24罐【最佳使用日期:04/2027】,B096100591,16,online,N,N,15-May-2026,01-Jan-2099,Fanta,芬達,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008123308_24,Y,B0961005_S_4890008123308_24,(Full Case) Grape Soda 330ml x 24 cans【Best Before:04/2027】,(原箱) 提子味汽水330ml x 24罐【最佳使用日期:04/2027】,B096100591,16,online,N,N,15-May-2026,01-Jan-2099,Fanta,芬達,400,270,120,330ml x 24,330毫升 x 24,AA11221500001,汽水,HKD,180.0,79.0,56.11111, , , , , , ,
B0961005,4890008150502_24,Y,B0961005_S_4890008150502_24,(Full Case) Mineralized Water 770ml x 24 bottles【Best Before:04/2027】,(原箱) 礦物質水770ml x 24支【最佳使用日期:04/2027】,B096100591,129,online,N,N,15-May-2026,01-Jan-2099,Bonaqua,飛雪,450,300,220,770ml x 24,770毫升 x 24,AA11220500001,水,HKD,132.0,62.0,53.0303, , , , , , ,
B0961005,4890008150519_24,Y,B0961005_S_4890008150519_24,(Full Case) Mineralized Water 500ml x 24 bottles【Best Before:04/2027】,(原箱) 礦物質水500ml x 24支【最佳使用日期:04/2027】,B096100591,126,online,N,N,15-May-2026,01-Jan-2099,Bonaqua,飛雪,400,270,200,500ml x 24,500毫升 x 24,AA11220500001,水,HKD,100.0,63.0,37.0, , , , , , ,
B0961005,4890008150557_12,Y,B0961005_S_4890008150557_12,(Full Case) Mineralized Water 1.5L x 12 bottles【Best Before:04/2027】,(原箱) 礦物質水1.5L x 12支【最佳使用日期:04/2027】,B096100591,94,online,N,N,15-May-2026,01-Jan-2099,Bonaqua,飛雪,400,270,280,1.5L x 12,1.5升 x 12,AA11220500001,水,HKD,108.0,59.0,45.37037, , , , , , ,
B0961005,4890008400300_24,Y,B0961005_S_4890008400300_24,(Full Case) SchweppesCream Soda (Canned) 330ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉 忌廉罐裝330ml x 24罐【最佳使用日期:04/2027】,B096100591,10,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11222500001,無汽飲品,HKD,164.4,79.0,51.94647, , , , , , ,
B0961005,4890008400362_24,Y,B0961005_S_4890008400362_24,(Full Case) SchweppesCream Soda (Mini Can) 200ml x 24 cans【Best Before:04/2027】,(原箱) 玉泉迷你罐裝忌廉 200ml x 24罐【最佳使用日期:04/2027】,B096100591,6,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11224510001,樽裝茶,HKD,106.0,82.0,22.64151, , , , , , ,
B0961005,4890008402304_24,Y,B0961005_S_4890008402304_24,(Full Case) SchweppesSoda Water (Canned) 330ml x 24 cans【Best Before:03/2027】,(原箱) 玉泉罐裝梳打水 330ml x 24罐【最佳使用日期:03/2027】,B096100591,35,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,400,270,120,330ml x 24,330毫升 x 24,AA11224510001,樽裝茶,HKD,164.4,79.0,51.94647, , , , , , ,
B0961005,4890008402366_24,Y,B0961005_S_4890008402366_24,(Full Case) SchweppesSoda Water (Mini Can) 200ml x 24 cans【Best Before:03/2027】,(原箱) 玉泉梳打水(迷你) 200ml x 24罐【最佳使用日期:03/2027】,B096100591,178,online,N,N,15-May-2026,01-Jan-2099,可口可樂,可口可樂,320,220,100,200ml x 24,200毫升 x 24,AA11221500001,汽水,HKD,106.0,82.0,22.64151, , , , , , ,
